INFO 2025-10-11 15:46:16,311 basehttp 23844 8324 "GET /admin/auth/user/6/change/ HTTP/1.1" 200 25419
INFO 2025-10-11 15:46:16,379 middleware 23844 21860 IMPORTANT Request: GET /admin/jsi18n/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:46:16,385 basehttp 23844 21860 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-11 15:46:16,486 basehttp 23844 8324 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-11 15:46:16,494 basehttp 23844 8324 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-10-11 15:46:16,495 basehttp 23844 8324 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-10-11 15:46:16,506 basehttp 23844 8324 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-10-11 15:46:16,515 basehttp 23844 8324 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-10-11 15:46:16,521 basehttp 23844 8324 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-10-11 15:46:16,525 basehttp 23844 8324 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-10-11 15:46:16,529 basehttp 23844 8324 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-10-11 15:46:16,532 basehttp 23844 8324 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-10-11 15:46:16,534 basehttp 23844 7536 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-11 15:46:16,535 basehttp 23844 8324 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-10-11 15:46:16,538 basehttp 23844 8324 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-10-11 15:46:16,538 basehttp 23844 7536 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
